z,zrel,lam1,lam2,lam3
-54.15,0.9805355859094177,0.434,0.328,0.237
-104.05,0.9625988497483825,0.472,0.293,0.235
-144.05,0.9482207045291158,0.49,0.29,0.22
-205.15,0.9262580877066858,0.448,0.291,0.26
-255.15,0.9082854061826025,0.44,0.31,0.25
-304.35,0.8906002875629044,0.435,0.311,0.254
-355.15,0.8723400431344357,0.443,0.282,0.275
-395.15,0.857961897915169,0.441,0.364,0.196
-454.25,0.8367181883537024,0.459,0.32,0.221
-555.45,0.8003414809489575,0.482,0.353,0.165
-636.85,0.7710819554277498,0.445,0.369,0.187
-655.45,0.7643961179007908,0.464,0.361,0.175
-755.95,0.7282710280373832,0.518,0.362,0.12
-854.75,0.6927570093457944,0.514,0.39,0.097
-953.45,0.6572789360172537,0.537,0.388,0.074
-1053.15,0.6214414090582314,0.587,0.347,0.067
-1124.15,0.595920201294033,0.561,0.374,0.065
-1124.15,0.595920201294033,0.585,0.365,0.05
-1155.15,0.5847771387491013,0.555,0.397,0.047
-1255.15,0.5488317757009346,0.547,0.417,0.035
-1345.15,0.5164809489575845,0.582,0.388,0.03
-1345.15,0.5164809489575845,0.598,0.373,0.029
-1364.15,0.5096513299784328,0.576,0.4,0.025
-1395.85,0.4982566498921639,0.61,0.355,0.034
-1454.15,0.47730050323508266,0.625,0.352,0.023
-1494.25,0.46288641265276775,0.588,0.393,0.02
-1534.15,0.4485442127965492,0.618,0.368,0.014
-1553.96,0.44142343637670745,0.6,0.38,0.019
-1568.05,0.43635873472322073,0.637,0.343,0.02
-1585.05,0.4302480230050324,0.627,0.356,0.017
-1655.05,0.4050862688713156,0.614,0.369,0.017
-1665.05,0.40149173256649895,0.651,0.332,0.017
-1725.05,0.3799245147375989,0.709,0.251,0.04
-1735.05,0.37632997843278215,0.741,0.218,0.041
-1755.05,0.36914090582314885,0.713,0.251,0.036
-1785.05,0.3583572969086988,0.711,0.246,0.044
-1805.05,0.35116822429906547,0.707,0.26,0.033
-1845.05,0.33679007907979874,0.692,0.289,0.019
-1855.25,0.3331236520488857,0.727,0.252,0.021
-1955.05,0.2972501797268152,0.803,0.175,0.022
-1975.05,0.2900611071171819,0.723,0.261,0.016
-1995.05,0.2828720345075485,0.752,0.234,0.014
-2025.05,0.27208842559309854,0.741,0.245,0.014
-2035.05,0.2684938892882818,0.822,0.163,0.015
-2045.05,0.2648993529834651,0.946,0.034,0.02
-2055.05,0.26130481667864836,0.926,0.044,0.03
-2085.05,0.2505212077641984,0.916,0.058,0.026
-2095.05,0.24692667145938163,0.903,0.073,0.024
-2105.05,0.24333213515456498,0.915,0.067,0.017
-2155.05,0.2253594536304816,0.948,0.035,0.017
-2265.05,0.1858195542774982,0.94,0.044,0.017
-2285.05,0.17863048166786477,0.834,0.132,0.035
-2295.05,0.17503594536304812,0.901,0.074,0.025
-2345.05,0.15706326383896474,0.857,0.075,0.068
-2355.05,0.15346872753414798,0.878,0.084,0.038
-2365.05,0.14987419122933132,0.64,0.298,0.062
-2375.05,0.14627965492451467,0.691,0.284,0.025
-2375.25,0.1462077641984184,0.691,0.284,0.025
-2385.05,0.14268511861969801,0.926,0.062,0.012
-2395.05,0.13909058231488136,0.961,0.027,0.012
-2455.05,0.11752336448598122,0.932,0.043,0.025
-2485.05,0.10673975557153126,0.943,0.033,0.024
-2495.05,0.1031452192667145,0.878,0.083,0.039
-2505.05,0.09955068296189784,0.91,0.062,0.028
-2563.05,0.07870237239396116,0.917,0.054,0.029
