z,zrel,T
-0.0,1.0,-40.693471
-18.040201,0.9899497487465181,-40.479077
-36.080402,0.9798994974930362,-40.3202
-54.120603,0.9698492462395543,-40.18116
-72.160804,0.9597989949860725,-40.048678
-90.201005,0.9497487437325906,-39.916198
-108.241206,0.9396984924791086,-39.779947
-126.281407,0.9296482412256267,-39.637629
-144.321608,0.9195979899721448,-39.48786
-162.361809,0.909547738718663,-39.329888
-180.40201,0.8994974874651811,-39.163428
-198.442211,0.8894472362116992,-38.988536
-216.482412,0.8793969849582173,-38.805495
-234.522613,0.8693467337047354,-38.614729
-252.562814,0.8592964824512535,-38.416715
-270.603015,0.8492462311977715,-38.21193
-288.643216,0.8391959799442896,-38.000803
-306.683417,0.8291457286908078,-37.783696
-324.723618,0.8190954774373259,-37.560896
-342.763819,0.809045226183844,-37.332616
-360.80402,0.7989949749303621,-37.099006
-378.844221,0.7889447236768803,-36.860164
-396.884422,0.7788944724233984,-36.616148
-414.924623,0.7688442211699165,-36.366988
-432.964824,0.7587939699164346,-36.112692
-451.005025,0.7487437186629526,-35.853255
-469.045226,0.7386934674094707,-35.588661
-487.085427,0.7286432161559888,-35.31889
-505.125628,0.7185929649025069,-35.043918
-523.165829,0.708542713649025,-34.76372
-541.20603,0.6984924623955431,-34.478271
-559.246231,0.6884422111420613,-34.187549
-577.286432,0.6783919598885794,-33.891533
-595.326633,0.6683417086350976,-33.590204
-613.366834,0.6582914573816157,-33.283549
-631.407035,0.6482412061281337,-32.971557
-649.447236,0.6381909548746518,-32.654223
-667.487437,0.6281407036211699,-32.331545
-685.527638,0.618090452367688,-32.003525
-703.567839,0.6080402011142061,-31.670172
-721.60804,0.5979899498607242,-31.331497
-739.648241,0.5879396986072423,-30.987517
-757.688442,0.5778894473537605,-30.638253
-775.728643,0.5678391961002786,-30.283729
-793.768844,0.5577889448467968,-29.923977
-811.809045,0.5477386935933148,-29.559027
-829.849246,0.5376884423398329,-29.188919
-847.889447,0.527638191086351,-28.813693
-865.929648,0.5175879398328691,-28.433393
-883.969849,0.5075376885793872,-28.048068
-902.01005,0.4974874373259053,-27.657769
-920.050251,0.48743718607242337,-27.262549
-938.090452,0.47738693481894146,-26.862468
-956.130653,0.46733668356545954,-26.457585
-974.170854,0.45728643231197774,-26.047964
-992.211055,0.44723618105849583,-25.633669
-1010.251256,0.4371859298050139,-25.214771
-1028.291457,0.427135678551532,-24.791338
-1046.331658,0.4170854272980501,-24.363445
-1064.371859,0.4070351760445682,-23.931167
-1082.41206,0.39698492479108627,-23.494579
-1100.452261,0.38693467353760447,-23.053762
-1118.492462,0.37688442228412256,-22.608796
-1136.532663,0.36683417103064064,-22.159762
-1154.572864,0.35678391977715873,-21.706745
-1172.613065,0.34673366852367693,-21.249828
-1190.653266,0.336683417270195,-20.789099
-1208.693467,0.3266331660167131,-20.324643
-1226.733668,0.3165829147632312,-19.856547
-1244.773869,0.3065326635097493,-19.384901
-1262.81407,0.2964824122562675,-18.909792
-1280.854271,0.28643216100278557,-18.431309
-1298.894472,0.27638190974930366,-17.94954
-1316.934673,0.26633165849582174,-17.464575
-1334.974874,0.25628140724233983,-16.976501
-1353.015075,0.24623115598885792,-16.485407
-1371.055276,0.236180904735376,-15.991378
-1389.095477,0.2261306534818941,-15.494501
-1407.135678,0.21608040222841218,-14.99486
-1425.175879,0.20603015097493038,-14.49254
-1443.21608,0.19597989972144847,-13.987622
-1461.256281,0.18592964846796656,-13.480186
-1479.296482,0.17587939721448465,-12.97031
-1497.336683,0.16582914596100284,-12.45807
-1515.376884,0.15577889470752093,-11.94354
-1533.417085,0.14572864345403902,-11.42679
-1551.457286,0.1356783922005571,-10.907888
-1569.497487,0.1256281409470752,-10.386899
-1587.537688,0.1155778896935934,-9.863885
-1605.577889,0.10552763844011148,-9.338902
-1623.61809,0.09547738718662957,-8.812006
-1641.658291,0.08542713593314766,-8.283245
-1659.698492,0.07537688467966575,-7.752666
-1677.738693,0.06532663342618383,-7.22031
-1695.778894,0.05527638217270192,-6.686213
-1713.819095,0.04522613091922001,-6.150407
-1731.859296,0.0351758796657381,-5.612917
-1749.899497,0.025125628412256185,-5.073763
-1767.939698,0.015075377158774383,-4.532961
-1785.979899,0.005025125905292471,-3.990518
